tag,value,unit,timestamp
TT-1202B,37.12,°C,2026-08-14T10:00:00Z
TT-1202B,37.41,°C,2026-08-14T10:00:01Z
TT-1202B,37.88,°C,2026-08-14T10:00:02Z
TT-1202B,38.22,°C,2026-08-14T10:00:03Z
TT-1202B,36.95,°C,2026-08-14T10:00:04Z
TT-1202B,37.08,°C,2026-08-14T10:00:05Z
AT-3401,7.02,pH,2026-08-14T10:00:00Z
AT-3401,7.11,pH,2026-08-14T10:00:01Z
AT-3401,7.35,pH,2026-08-14T10:00:02Z
AT-3401,6.91,pH,2026-08-14T10:00:03Z
AT-3401,7.05,pH,2026-08-14T10:00:04Z
AT-3401,7.18,pH,2026-08-14T10:00:05Z
PT-2201,104.8,kPa,2026-08-14T10:00:00Z
PT-2201,106.1,kPa,2026-08-14T10:00:01Z
PT-2201,111.4,kPa,2026-08-14T10:00:02Z
PT-2201,108.2,kPa,2026-08-14T10:00:03Z
PT-2201,103.9,kPa,2026-08-14T10:00:04Z
PT-2201,105.5,kPa,2026-08-14T10:00:05Z
CT-5501,812.0,µS/cm,2026-08-14T10:00:00Z
CT-5501,834.0,µS/cm,2026-08-14T10:00:01Z
CT-5501,901.0,µS/cm,2026-08-14T10:00:02Z
CT-5501,778.0,µS/cm,2026-08-14T10:00:03Z
CT-5501,820.0,µS/cm,2026-08-14T10:00:04Z
CT-5501,855.0,µS/cm,2026-08-14T10:00:05Z
MT-6601,47.2,%,2026-08-14T10:00:00Z
MT-6601,49.1,%,2026-08-14T10:00:01Z
MT-6601,52.4,%,2026-08-14T10:00:02Z
MT-6601,44.8,%,2026-08-14T10:00:03Z
MT-6601,46.6,%,2026-08-14T10:00:04Z
MT-6601,48.0,%,2026-08-14T10:00:05Z
